snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2025-10-01,q4-2025,,opennem,,Climate Tech,climate-tech,Seed,APAC,22,16,9,121,0,Engineering hiring burst,,,,,https://github.com/opennem,,
2025-10-01,q4-2025,,orbiternassp,,Space Tech,space-tech,Series A/B,Unknown,50,138,37,0,0,Framework migration,,,,,https://github.com/orbiternassp,,
2025-10-01,q4-2025,,paperless-ngx,,AI & Machine Learning,ai-ml,Growth,Unknown,19,-60,100,0,0,Framework migration,,,,,https://github.com/paperless-ngx,,
2025-10-01,q4-2025,,particify,,EdTech,edtech,Seed,EU,24,-38,16,0,0,Framework migration,,,,,https://github.com/particify,,
2025-10-01,q4-2025,,polarsource,,Enterprise SaaS,enterprise-saas,Growth,Unknown,164,-18,100,0,0,Framework migration,,,,,https://github.com/polarsource,,
2025-10-01,q4-2025,,projectdiscovery,,Cybersecurity,cybersecurity,Growth,Unknown,882,53,100,0,0,Framework migration,,,,,https://github.com/projectdiscovery,,
2025-10-01,q4-2025,,roboflow,,AI & Machine Learning,ai-ml,Growth,US,100,-61,90,0,2,Framework migration,,,,,https://github.com/roboflow,,
2025-10-01,q4-2025,,saleor,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,9,-59,100,0,0,Framework migration,,,,,https://github.com/saleor,,
2025-10-01,q4-2025,,tenzir,,Cybersecurity,cybersecurity,Series A/B,EU,144,17,48,0,0,Framework migration,,,,,https://github.com/tenzir,,
2025-10-01,q4-2025,,third-culture-software,,Healthcare,healthcare,Series A/B,Unknown,2,-80,27,0,1,Framework migration,,,,,https://github.com/third-culture-software,,
2025-10-01,q4-2025,,unacms,,Social & Community,social-community,Seed,Unknown,54,-16,11,0,0,Framework migration,,,,,https://github.com/unacms,,
2025-10-01,q4-2025,,wazuh,,Legal Tech,legal-tech,Growth,US,245,-8,100,7,1,Framework migration,,,,,https://github.com/wazuh,,
2025-10-01,q4-2025,,zapplyjobs,,HR Tech,hr-tech,Seed,US,43,999,8,220,0,Engineering hiring burst,,,,,https://github.com/zapplyjobs,,
2026-01-01,q1-2026,,ClickHouse,,Data Infrastructure,data-infrastructure,Growth,US,2090,82,100,0,4,Infrastructure buildout,,,,,https://github.com/ClickHouse,,
2026-01-01,q1-2026,,FlaxEngine,,Gaming,gaming,Growth,Unknown,75,88,89,30,0,Framework migration,,,,,https://github.com/FlaxEngine,,
2026-01-01,q1-2026,,LiteFarmOrg,,AgTech,agtech,Growth,Canada,83,999,65,0,0,Deploy frequency spike,,,,,https://github.com/LiteFarmOrg,,
2026-01-01,q1-2026,,NDLANO,,EdTech,edtech,Series A/B,Unknown,20,999,28,10,0,Deploy frequency spike,,,,,https://github.com/NDLANO,,
2026-01-01,q1-2026,,OpenC3,,Space Tech,space-tech,Series A/B,US,159,4,45,0,0,Framework migration,,,,,https://github.com/OpenC3,,
2026-01-01,q1-2026,,OpenCTI-Platform,,Cybersecurity,cybersecurity,Growth,US,158,285,100,0,0,Deploy frequency spike,,,,,https://github.com/OpenCTI-Platform,,
2026-01-01,q1-2026,,OpenOLAT,,EdTech,edtech,Seed,EU,142,517,15,25,0,Deploy frequency spike,,,,,https://github.com/OpenOLAT,,
2026-01-01,q1-2026,,ParabolInc,,Enterprise SaaS,enterprise-saas,Growth,US,23,999,78,0,1,Deploy frequency spike,,,,,https://github.com/ParabolInc,,
2026-01-01,q1-2026,,PostHog,,Data Infrastructure,data-infrastructure,Growth,US,224,273,100,0,3,Infrastructure buildout,,,,,https://github.com/PostHog,,
2026-01-01,q1-2026,,VictoriaMetrics,,Data Infrastructure,data-infrastructure,Growth,US,65,117,100,0,0,Framework migration,,,,,https://github.com/VictoriaMetrics,,
2026-01-01,q1-2026,,airbytehq,,Data Infrastructure,data-infrastructure,Growth,US,559,1647,100,0,0,Deploy frequency spike,,,,,https://github.com/airbytehq,,
