snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url,normalized_name,raised_funding_within_90d,funding_event_date,funding_amount,funding_source,match_method
2025-10-01 00:00:00+00:00,q4-2025,,third-culture-software,,Healthcare,healthcare,Series A/B,Unknown,2.0,-80.0,27.0,0.0,1.0,Framework migration,,,,,https://github.com/third-culture-software,,,third culture software,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,unacms,,Social & Community,social-community,Seed,Unknown,54.0,-16.0,11.0,0.0,0.0,Framework migration,,,,,https://github.com/unacms,,,unacms,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,wazuh,,Legal Tech,legal-tech,Growth,US,245.0,-8.0,100.0,7.0,1.0,Framework migration,,,,,https://github.com/wazuh,,,wazuh,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,zapplyjobs,,HR Tech,hr-tech,Seed,US,43.0,999.0,8.0,220.0,0.0,Engineering hiring burst,,,,,https://github.com/zapplyjobs,,,zapplyjobs,0.0,,,,
2026-01-01 00:00:00+00:00,q1-2026,,ClickHouse,,Data Infrastructure,data-infrastructure,Growth,US,2090.0,82.0,100.0,0.0,4.0,Infrastructure buildout,,,,,https://github.com/ClickHouse,,,clickhouse,0.0,,,,
2026-01-01 00:00:00+00:00,q1-2026,,FlaxEngine,,Gaming,gaming,Growth,Unknown,75.0,88.0,89.0,30.0,0.0,Framework migration,,,,,https://github.com/FlaxEngine,,,flaxengine,0.0,,,,
2026-01-01 00:00:00+00:00,q1-2026,,LiteFarmOrg,,AgTech,agtech,Growth,Canada,83.0,999.0,65.0,0.0,0.0,Deploy frequency spike,,,,,https://github.com/LiteFarmOrg,,,litefarmorg,0.0,,,,
2026-01-01 00:00:00+00:00,q1-2026,,NDLANO,,EdTech,edtech,Series A/B,Unknown,20.0,999.0,28.0,10.0,0.0,Deploy frequency spike,,,,,https://github.com/NDLANO,,,ndlano,0.0,,,,
2026-01-01 00:00:00+00:00,q1-2026,,OpenC3,,Space Tech,space-tech,Series A/B,US,159.0,4.0,45.0,0.0,0.0,Framework migration,,,,,https://github.com/OpenC3,,,openc3,0.0,,,,
2026-01-01 00:00:00+00:00,q1-2026,,OpenCTI-Platform,,Cybersecurity,cybersecurity,Growth,US,158.0,285.0,100.0,0.0,0.0,Deploy frequency spike,,,,,https://github.com/OpenCTI-Platform,,,opencti platform,0.0,,,,
