name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
SFDigitalServices,sfdigitalservices,https://sf.gov/departments/city-administrator/digital-services,https://www.sf.gov/departments/city-administrator/digital-services,2026-08-17T06:52:21.451707+00:00,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-10T07:38:20.904937+00:00,0.0
PhotoFlare,photoflare,http://www.photoflare.io,https://photoflare.io/,2026-08-17T06:52:21.494346+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,55.0,0.0,0.0,2026-08-10T07:38:20.959089+00:00,0.0
RoboDojo-Benchmark,robodojo-benchmark,https://robodojo-benchmark.com,https://robodojo-benchmark.com/,2026-08-17T06:52:21.586728+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2026-08-10T07:38:25.429217+00:00,0.0
Submitty,submitty,http://submitty.org,https://submitty.org/,2026-08-17T06:52:21.730324+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2026-08-10T07:38:20.840234+00:00,0.0
SeismicSystems,seismicsystems,https://seismic.systems,https://www.seismic.systems/,2026-08-17T06:52:21.793506+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,624.0,83.0,5.0,5.0,2026-08-10T07:38:20.998576+00:00,0.0
OpenOLAT,openolat,https://www.openolat.org,https://www.openolat.com/,2026-08-17T06:52:22.011642+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2323.0,155.0,5.0,5.0,2026-08-10T07:38:21.685042+00:00,0.0
OpenCSGs,opencsgs,https://www.opencsg.com,https://opencsg.com/,2026-08-17T06:52:22.040571+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,
WillowInc,willowinc,https://willowinc.com,https://willowinc.com/,2026-08-17T06:52:22.072025+00:00,200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1301.0,79.0,20.0,20.0,2026-08-10T07:38:21.213421+00:00,0.0
Velocidex,velocidex,https://www.velocidex.com,https://www.velocidex.com/,2026-08-17T06:52:22.074547+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,1.0,5.0,5.0,2026-08-10T07:38:21.063957+00:00,0.0
WebODM,webodm,https://webodm.org,https://webodm.org/,2026-08-17T06:52:22.086753+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,560.0,38.0,5.0,5.0,2026-08-10T07:38:20.955122+00:00,0.0
